City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2020-06-30 19:11:40,-33.93,18.42,57.0,93,43,2.24
1,New Norfolk,AU,2020-06-30 19:11:38,-42.78,147.06,41.0,83,79,2.37
2,Katobu,ID,2020-06-30 19:16:08,-4.94,122.53,72.72,93,0,4.05
3,Lagoa,PT,2020-06-30 19:11:39,39.05,-27.98,66.56,89,100,8.23
4,Rikitea,PF,2020-06-30 19:11:36,-23.12,-134.97,69.13,57,0,15.97
5,Oistins,BB,2020-06-30 19:16:08,13.07,-59.53,86.0,70,75,19.46
6,Caravelas,BR,2020-06-30 19:12:05,-17.71,-39.25,72.73,90,100,5.48
7,Hobart,AU,2020-06-30 19:07:32,-42.88,147.33,39.0,100,87,4.74
8,Esperance,AU,2020-06-30 19:11:43,-33.87,121.9,51.8,71,40,23.04
9,Kathmandu,NP,2020-06-30 19:15:20,27.72,85.32,71.6,94,75,2.24
10,Adrar,MR,2020-06-30 19:10:23,20.5,-10.07,105.82,10,66,5.06
11,Pokrovsk,UA,2020-06-30 19:16:10,48.28,37.18,69.85,74,8,5.75
12,Ancud,CL,2020-06-30 19:11:49,-41.87,-73.82,50.0,93,90,8.05
13,Hithadhoo,MV,2020-06-30 19:12:03,-0.6,73.08,84.51,65,0,3.47
14,Tiksi,RU,2020-06-30 19:11:48,71.69,128.87,45.18,65,0,4.79
15,Vaini,TO,2020-06-30 19:11:51,-21.2,-175.2,71.6,94,40,9.17
16,Cidreira,BR,2020-06-30 19:11:44,-30.18,-50.21,61.68,96,100,8.77
17,Ushuaia,AR,2020-06-30 19:11:37,-54.8,-68.3,30.2,80,0,1.54
18,Vardo,NO,2020-06-30 19:11:43,70.37,31.11,42.8,100,75,12.75
19,Salinopolis,BR,2020-06-30 19:12:17,-0.61,-47.36,81.14,83,26,10.36
20,Nikolskoye,RU,2020-06-30 19:11:56,59.7,30.79,60.8,72,40,13.42
21,Bluff,NZ,2020-06-30 19:11:42,-46.6,168.33,39.0,83,100,3.0
22,Cururupu,BR,2020-06-30 19:12:22,-1.83,-44.87,81.48,83,7,4.21
23,Butaritari,KI,2020-06-30 19:11:44,3.07,172.79,81.84,73,3,4.54
24,Saint-Philippe,RE,2020-06-30 19:11:46,-21.36,55.77,68.0,56,0,6.93
25,Khandbari,NP,2020-06-30 19:16:11,27.37,87.2,74.19,78,98,0.89
26,Mataura,NZ,2020-06-30 19:11:41,-46.19,168.86,39.0,83,100,3.0
27,Kapaa,US,2020-06-30 19:11:25,22.08,-159.32,82.4,69,75,10.29
28,Guanare,VE,2020-06-30 19:16:11,9.04,-69.74,87.08,62,0,5.46
29,Male,MV,2020-06-30 19:12:56,4.17,73.51,84.2,79,40,4.7
30,Goderich,CA,2020-06-30 19:16:11,43.75,-81.72,84.99,74,9,13.76
31,Vrangel,RU,2020-06-30 19:16:11,42.73,133.08,56.68,89,100,3.85
32,Airai,TL,2020-06-30 19:11:54,-8.93,125.41,54.25,81,95,2.04
33,Bereda,ES,2020-06-30 19:15:11,43.27,-7.54,72.0,74,0,10.0
34,Hohhot,CN,2020-06-30 19:11:43,40.81,111.65,60.8,87,71,1.61
35,Ribeira Grande,PT,2020-06-30 19:11:46,38.52,-28.7,71.6,83,40,19.46
36,Provideniya,RU,2020-06-30 19:11:44,64.38,-173.3,43.18,91,100,8.34
37,Saint-Francois,FR,2020-06-30 19:15:05,46.42,3.91,78.8,47,0,3.36
38,Ponta Do Sol,PT,2020-06-30 19:11:51,32.67,-17.1,71.6,68,75,6.93
39,Chiredzi,ZW,2020-06-30 19:16:12,-21.05,31.67,61.25,61,4,4.94
40,East London,ZA,2020-06-30 19:11:39,-33.02,27.91,60.22,70,0,9.6
41,Bonthe,SL,2020-06-30 19:11:50,7.53,-12.51,78.85,82,98,7.18
42,Cayenne,GF,2020-06-30 19:12:11,4.93,-52.33,87.8,66,75,13.87
43,Sept-Iles,CA,2020-06-30 19:12:23,50.2,-66.38,70.0,68,40,4.7
44,Shanghai,CN,2020-06-30 19:14:05,31.22,121.46,75.2,83,1,6.71
45,Severo-Kurilsk,RU,2020-06-30 19:11:42,50.68,156.12,46.54,83,13,15.41
46,Erzin,TR,2020-06-30 19:16:12,36.96,36.2,78.01,86,22,2.13
47,Hamilton,US,2020-06-30 19:12:01,39.18,-84.53,88.0,66,40,4.7
48,Punta Arenas,CL,2020-06-30 19:11:37,-53.15,-70.92,33.8,86,75,3.36
49,Santiago Del Estero,AR,2020-06-30 19:16:13,-27.8,-64.26,67.5,25,0,19.04
50,Adra,ES,2020-06-30 19:16:13,36.75,-3.02,80.01,88,0,8.05
51,Avera,US,2020-06-30 19:12:28,33.19,-82.53,96.8,39,1,10.29
52,Malkara,TR,2020-06-30 19:12:44,40.89,26.9,73.98,54,0,1.05
53,Meulaboh,ID,2020-06-30 19:16:13,4.14,96.13,76.93,88,55,4.29
54,Nome,US,2020-06-30 19:12:08,64.5,-165.41,50.0,81,90,11.41
55,Shetpe,KZ,2020-06-30 19:16:13,44.17,52.12,73.74,51,56,8.75
56,Kalach-Na-Donu,RU,2020-06-30 19:16:13,48.69,43.53,66.0,55,0,6.71
57,Maragogi,BR,2020-06-30 19:16:13,-9.01,-35.22,78.44,77,48,9.84
