City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Talnakh,RU,69.49,88.4,57.2,82,40,17.9,scattered clouds,0.0,0.0
1,Prado,BR,-17.34,-39.22,69.93,92,24,3.18,few clouds,0.0,0.0
2,Salalah,OM,17.02,54.09,84.2,89,90,4.7,overcast clouds,0.0,0.0
3,Clyde River,CA,70.47,-68.59,35.6,93,90,4.7,overcast clouds,0.0,0.0
4,Vestmannaeyjar,IS,63.44,-20.27,48.88,83,100,10.67,overcast clouds,0.0,0.0
5,Hilo,US,19.73,-155.09,84.2,48,90,8.05,overcast clouds,0.0,0.0
6,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,71.6,46,49,8.95,scattered clouds,0.0,0.0
7,Jamestown,US,42.1,-79.24,69.8,68,1,3.36,clear sky,0.0,0.0
8,Bacong,PH,9.25,123.3,86.0,79,40,6.93,scattered clouds,0.0,0.0
9,Bluff,NZ,-46.6,168.33,45.52,74,100,10.04,overcast clouds,0.0,0.0
10,Kapaa,US,22.08,-159.32,84.2,66,20,10.29,few clouds,0.0,0.0
11,Mitu,CO,1.2,-70.17,72.9,94,0,1.41,clear sky,0.0,0.0
12,Ushuaia,AR,-54.8,-68.3,26.6,79,0,4.7,clear sky,0.0,0.0
13,Dikson,RU,73.51,80.55,45.21,89,2,15.7,clear sky,0.0,0.0
14,Kutum,SD,14.2,24.67,72.25,70,57,17.83,broken clouds,0.0,0.0
15,Moron,AR,-34.65,-58.62,48.99,87,75,16.11,broken clouds,0.0,0.0
16,Limon,CR,10.0,-83.03,79.16,64,100,5.53,overcast clouds,0.0,0.0
17,Hobart,AU,-42.88,147.33,50.0,76,20,8.05,few clouds,0.0,0.0
18,Cidreira,BR,-30.18,-50.21,58.69,77,23,27.16,few clouds,0.0,0.0
19,Upernavik,GL,72.79,-56.15,38.73,76,8,11.7,clear sky,0.0,0.0
20,Ahipara,NZ,-35.17,173.17,56.1,76,35,14.97,light rain,0.46,0.0
21,Jiaojiang,CN,28.68,121.44,82.99,94,100,1.99,overcast clouds,0.0,0.0
22,Atuona,PF,-9.8,-139.03,79.84,72,4,20.15,clear sky,0.0,0.0
23,Kaitangata,NZ,-46.28,169.85,45.0,71,100,7.0,overcast clouds,0.0,0.0
24,Tuktoyaktuk,CA,69.45,-133.04,51.8,81,75,16.11,broken clouds,0.0,0.0
25,Iqaluit,CA,63.75,-68.51,41.0,80,40,3.36,scattered clouds,0.0,0.0
