City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Karangampel,ID,2020-06-24 19:34:14,-6.46,108.45,76.68,83,100,4.74
1,Rikitea,PF,2020-06-24 19:34:17,-23.12,-134.97,70.16,56,100,9.06
2,Turkmenabat,TM,2020-06-24 19:34:18,39.07,63.58,86.0,20,0,9.17
3,Port Lincoln,AU,2020-06-24 19:34:18,-34.73,135.87,56.43,76,12,12.75
4,Castro,BR,2020-06-24 19:34:18,-24.79,-50.01,64.62,69,0,6.15
5,Vaini,TO,2020-06-24 19:34:18,-21.2,-175.2,69.8,88,75,4.7
6,Road Town,VG,2020-06-24 19:33:26,18.42,-64.62,87.8,66,40,12.75
7,Nuuk,GL,2020-06-24 19:31:38,64.18,-51.72,46.4,65,75,6.93
8,Dikson,RU,2020-06-24 19:34:18,73.51,80.55,39.76,80,100,12.71
9,Turukhansk,RU,2020-06-24 19:34:18,65.82,87.98,53.38,88,98,3.06
10,Qaanaaq,GL,2020-06-24 19:34:18,77.48,-69.36,39.92,71,64,8.93
11,Vardo,NO,2020-06-24 19:34:18,70.37,31.11,48.2,93,75,9.17
12,Saint-Augustin,CA,2020-06-24 19:34:18,51.23,-58.65,69.3,69,100,20.69
13,Mlonggo,ID,2020-06-24 19:34:18,-6.53,110.7,77.38,80,100,3.56
14,Deyang,CN,2020-06-24 19:34:18,31.13,104.38,75.29,80,6,0.92
15,Tabory,RU,2020-06-24 19:34:19,58.52,64.55,50.92,93,100,4.34
16,Cherskiy,RU,2020-06-24 19:34:19,68.75,161.3,53.87,42,56,4.16
17,Cape Town,ZA,2020-06-24 19:34:19,-33.93,18.42,59.0,58,0,8.05
18,Yulara,AU,2020-06-24 19:34:19,-25.24,130.99,42.8,45,97,5.82
19,Tukrah,LY,2020-06-24 19:34:19,32.53,20.58,71.29,78,0,6.42
20,Yellowknife,CA,2020-06-24 19:31:17,62.46,-114.35,69.8,49,40,11.41
21,Kultuk,RU,2020-06-24 19:34:19,51.72,103.7,56.53,78,2,5.86
22,Ambon,ID,2020-06-24 19:34:19,-3.7,128.18,80.01,14,53,14.36
23,Saskylakh,RU,2020-06-24 19:34:19,71.92,114.08,74.82,39,4,5.35
24,Ushtobe,KZ,2020-06-24 19:34:19,45.25,77.98,64.35,44,0,5.61
25,Amga,RU,2020-06-24 19:34:19,60.9,131.96,57.04,79,9,2.26
26,Ampanihy,MG,2020-06-24 19:34:19,-24.7,44.75,62.26,95,30,8.23
27,Leninskoye,RU,2020-06-24 19:34:19,47.94,132.62,57.88,97,100,5.06
28,Shelburne,CA,2020-06-24 19:31:13,44.08,-80.2,66.2,55,75,14.99
29,Hermanus,ZA,2020-06-24 19:33:37,-34.42,19.23,48.0,95,0,2.35
30,Beringovskiy,RU,2020-06-24 19:34:20,63.05,179.32,40.01,95,100,7.07
31,Serrana,BR,2020-06-24 19:34:20,-21.21,-47.6,82.4,32,96,11.41
32,Kapaa,US,2020-06-24 19:34:20,22.08,-159.32,82.4,69,40,13.87
33,Pevek,RU,2020-06-24 19:34:20,69.7,170.31,31.12,98,100,6.58
34,Camacha,PT,2020-06-24 19:34:20,33.08,-16.33,71.6,68,20,17.22
35,Nsanje,MW,2020-06-24 19:34:20,-16.92,35.26,64.69,88,1,3.33
36,Smidovich,RU,2020-06-24 19:34:20,48.6,133.82,57.58,99,100,5.68
37,Port Alfred,ZA,2020-06-24 19:34:20,-33.59,26.89,66.99,33,0,5.99
38,Ushuaia,AR,2020-06-24 19:34:01,-54.8,-68.3,37.4,87,75,12.75
39,Lincoln,US,2020-06-24 19:34:20,40.8,-96.67,82.99,39,1,4.7
40,Bayan,CN,2020-06-24 19:34:20,46.08,127.4,55.31,90,37,2.53
41,Victoria,HK,2020-06-24 19:30:03,22.29,114.16,86.0,74,100,15.99
42,Pisco,PE,2020-06-24 19:34:21,-13.7,-76.22,66.0,82,40,10.29
43,Mataura,NZ,2020-06-24 19:34:21,-46.19,168.86,45.72,87,87,6.46
44,Smithers,CA,2020-06-24 19:30:16,54.78,-127.17,64.4,48,75,4.7
45,Georgetown,MY,2020-06-24 19:34:21,5.41,100.34,78.8,94,20,5.68
46,Hilo,US,2020-06-24 19:30:05,19.73,-155.09,82.4,58,75,6.93
47,Tucuman,AR,2020-06-24 19:34:21,-26.82,-65.22,55.4,93,75,8.05
48,Busselton,AU,2020-06-24 19:34:21,-33.65,115.33,50.0,71,100,6.78
49,Souillac,MU,2020-06-24 19:34:21,-20.52,57.52,73.4,69,40,11.41
50,Mahebourg,MU,2020-06-24 19:34:21,-20.41,57.7,73.4,69,40,11.41
51,Atuona,PF,2020-06-24 19:34:21,-9.8,-139.03,78.82,71,38,16.93
52,Kaitangata,NZ,2020-06-24 19:34:21,-46.28,169.85,46.99,92,100,15.99
53,Provideniya,RU,2020-06-24 19:34:21,64.38,-173.3,44.6,70,40,4.47
54,Lingao,CN,2020-06-24 19:34:22,19.91,109.69,82.17,81,100,10.78
55,Chokurdakh,RU,2020-06-24 19:34:22,70.63,147.92,67.06,39,26,3.53
56,Albany,US,2020-06-24 19:30:23,42.6,-73.97,84.0,32,0,4.0
57,Bambanglipuro,ID,2020-06-24 19:34:22,-7.95,110.28,74.23,88,100,5.82
58,Bredasdorp,ZA,2020-06-24 19:34:22,-34.53,20.04,57.2,93,0,2.73
59,Katsuura,JP,2020-06-24 19:34:22,35.13,140.3,66.99,95,100,3.0
60,Flin Flon,CA,2020-06-24 19:34:22,54.77,-101.86,78.8,31,75,9.17
61,Inhambane,MZ,2020-06-24 19:34:22,-23.86,35.38,66.2,88,20,7.02
62,Luderitz,NA,2020-06-24 19:34:22,-26.65,15.16,66.2,35,0,5.82
63,Mar Del Plata,AR,2020-06-24 19:30:01,-38.0,-57.56,54.0,71,100,11.41
64,Surt,LY,2020-06-24 19:32:46,31.21,16.59,73.62,74,0,14.03
